Fastq,Fasta,BAM,Sample name,Sample Description,Bed Number,Strata,Sample Time Point,Sample Day,Sample Type,Field Location,Location,Round,Replicate,Total reads,PicoGreen,NanoDrop
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1062.fastq,224-16S_For_bc1005-16S_Rev_bc1062.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1062.bam,UI00224,Produce interior,,Interior,Post Harvest,Day 2,Produce,,Produce interior,3,2,25121,727.6,410.4
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1062.fastq,402-16S_For_bc1020-16S_Rev_bc1062.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1062.bam,UI00402,Produce interior,,Interior,Post Harvest,Day 1,Produce,,Produce interior,5,1,30446,223.3,124.4
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1056.fastq,179-16S_For_bc1005-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1056.bam,UI00179,Produce leftover trims,Bed 5,,Harvest,Day 2,Produce,,Leftover,1,,26859,17.7,11.2
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1056.fastq,177-16S_For_bc1012-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1056.bam,UI00177,Produce leftover trims,Bed 1,,Harvest,Day 2,Produce,,Leftover,3,,26867,9.2,5.8
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1056.fastq,173-16S_For_bc1015-16S_Rev_bc1056.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1056.bam,UI00173,Produce leftover trims,Bed 1,,Harvest,Day 2,Produce,,Leftover,5,,26010,16,14
Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1057.fastq,297-16S_For_bc1015-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1015--16S_Rev_bc1057.bam,UI00297,Produce leftover trims,,,Harvest,Day 1,Produce,,Leftover,2,Rachel,31290,52.5,31.2
Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1057.fastq,300-16S_For_bc1022-16S_Rev_bc1057.fasta,Stasiewicz_16S_demult.16S_For_bc1022--16S_Rev_bc1057.bam,UI00300,Produce leftover trims,,,Harvest,Day 1,Produce,,Leftover,4,Dr. S,25605,22.3,12.6
Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1033.fastq,161-16S_For_bc1012-16S_Rev_bc1033.fasta,Stasiewicz_16S_demult.16S_For_bc1012--16S_Rev_bc1033.bam,UI00161,Produce sides,Edge,,Preharvest,Day 1,Produce,Edge,Sides,,,23270,6,NA
Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1044.fastq,409-16S_For_bc1020-16S_Rev_bc1044.fasta,Stasiewicz_16S_demult.16S_For_bc1020--16S_Rev_bc1044.bam,UI00409,Produce sides,Edge,,Preharvest,Day 2,Produce,Edge,Sides,,,21614,170.3,169.9
Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1045.fastq,407-16S_For_bc1005-16S_Rev_bc1045.fasta,Stasiewicz_16S_demult.16S_For_bc1005--16S_Rev_bc1045.bam,UI00407,Produce sides,Bed 1,,Preharvest,Day 2,Produce,Bed 1 Edge,Sides,,,24799,93.4,82.4
