"Sampling.Day","Sample.Type","Location","Class","Strata","Test","Best.Estimate.log.CFU.g.","Head.Location","Sample.TypeLocation"
"InHarvest D1","Swab","Bins","Round 1","","Coliforms",0.743676281,"",""
"InHarvest D1","Swab","Chute","Round 2","","Coliforms",0.6554004,"",""
"InHarvest D1","Swab","Chute","Round 3","","Coliforms",0.627987487,"",""
"InHarvest D1","Swab","Bins","Round 3","","Coliforms",0.477121255,"",""
"InHarvest D1","Swab","Bins","Round 2","","Coliforms",0.477121255,"",""
"InHarvest D1","Grab","Bins","Round 1","","Coliforms",1.431363764,"",""
"InHarvest D1","Grab","Bins","Round 2","","Coliforms",0.954242509,"",""
"InHarvest D1","Grab","Bins","Round 3","","Coliforms",1.431363764,"",""
"InHarvest D1","Grab","Leftover","Round 1","","Coliforms",2.5774918,"",""
"InHarvest D1","Grab","Leftover","Round 1","","Coliforms",2.008600172,"",""
"InHarvest D1","Grab","Leftover","Round 2","","Coliforms",1.51851394,"",""
"InHarvest D1","Grab","Leftover","Round 2","","Coliforms",1.73239376,"",""
"InHarvest D1","Grab","Leftover","Round 3","","Coliforms",2.982271233,"",""
"InHarvest D1","Gloves","Gloves","Round 1","","Coliforms",2.247973266,"",""
"InHarvest D1","Gloves","Gloves","Round 1","","Coliforms",2.537819095,"",""
"InHarvest D1","Gloves","Gloves","Round 3","","Coliforms",2.641474111,"",""
"InHarvest D1","Gloves","Gloves","Round 2","","Coliforms",2.450249108,"",""
"InHarvest D1","Gloves","Gloves","Round 2","","Coliforms",2.494154594,"",""
"InHarvest D1","Swab","Chute","Round 4","","Coliforms",0.65444107,"",""
"InHarvest D1","Swab","Chute","Round 4","","Coliforms",0.840922099,"",""
"InHarvest D1","Swab","Bins","Round 5","","Coliforms",0.912994204,"",""
"InHarvest D1","Swab","Bins","Round 5","","Coliforms",2.388811413,"",""
"InHarvest D1","Grab","Leftover","Round 4","","Coliforms",1.819543936,"",""
"InHarvest D1","Grab","Leftover","Round 5","","Coliforms",1.653212514,"",""
"InHarvest D1","Grab","Bins","Round 4","","Coliforms",2.079181246,"",""
"InHarvest D1","Grab","Bins","Round 5","","Coliforms",1.681241237,"",""
"InHarvest D1","Grab","Leftover","Round 5","","Coliforms",2.59439255,"",""
"InHarvest D1","Grab","Leftover","Round 4","","Coliforms",0.477121255,"",""
"InHarvest D1","Gloves","Gloves","Round 5","","Coliforms",1.943933974,"",""
"InHarvest D1","Gloves","Gloves","Round 5","","Coliforms",1.88203181,"",""
"InHarvest D1","Gloves","Gloves","Round 4","","Coliforms",2.907294101,"",""
"InHarvest D1","Gloves","Gloves","Round 4","","Coliforms",2.526644152,"",""
"InHarvest D2","Swab","Chute","Round 2","","APC",4.680059425,"",""
"InHarvest D2","Swab","Chute","Round 4","","APC",4.136814841,"",""
"InHarvest D2","Swab","Chute","Round 3","","APC",4.110777119,"",""
"InHarvest D2","Grab","Bins","Round 5","","APC",4.46478752,"",""
"InHarvest D2","Grab","Bins","Round 4","","APC",4.370883017,"",""
"InHarvest D2","Grab","Bins","Round 3","","APC",4.580582877,"",""
"InHarvest D2","Grab","Bins","Round 2","","APC",3.597695186,"",""
"InHarvest D2","Grab","Bins","Round 1","","APC",4.003460532,"",""
"InHarvest D2","Grab","Leftover","Round 5","Bed 1","APC",4.399846713,"",""
"InHarvest D2","Grab","Leftover","Round 5","Bed 5","APC",3.936513742,"",""
"InHarvest D2","Grab","Leftover","Round 4","Bed 1","APC",3.995635195,"",""
"InHarvest D2","Grab","Leftover","Round 4","Bed 5","APC",4.152899596,"",""
"InHarvest D2","Grab","Leftover","Round 3","Bed 1","APC",4.656673046,"",""
"InHarvest D2","Grab","Leftover","Round 1","Bed 1","APC",4.452553063,"",""
"InHarvest D2","Grab","Leftover","Round 1","Bed 5","APC",4.521268876,"",""
"InHarvest D2","Grab","Leftover","Round 2","Bed 1","APC",5.192213785,"",""
"InHarvest D2","Grab","Leftover","Round 2","Bed 5","APC",4.14176323,"",""
"InHarvest D2","Grab","Leftover","Round 3","Bed 5","APC",4.541953474,"",""
"InHarvest D2","Gloves","Gloves","Round 4","Bed 1","APC",5.128074094,"",""
"InHarvest D2","Gloves","Gloves","Round 2","Bed 1","APC",5.182757792,"",""
"InHarvest D2","Gloves","Gloves","Round 2","Bed 5","APC",4.898393474,"",""
"InHarvest D2","Gloves","Gloves","Round 5","Bed 1","APC",5.318700595,"",""
"InHarvest D2","Gloves","Gloves","Round 5","Bed 5","APC",5.174381991,"",""
"InHarvest D2","Gloves","Gloves","Round 3","Bed 5","APC",4.421885845,"",""
"InHarvest D2","Gloves","Gloves","Round 4","Bed 5","APC",4.913769489,"",""
"InHarvest D2","Gloves","Gloves","Round 1","Bed 1","APC",4.672649128,"",""
"InHarvest D2","Gloves","Gloves","Round 3","Bed 1","APC",4.851596566,"",""
"InHarvest D2","Swab","Chute","Round 1","","APC",4.86861876,"",""
"InHarvest D2","Swab","Bins","Round 4","","APC",3.980494233,"",""
"InHarvest D2","Swab","Bins","Round 5","","APC",4.153155214,"",""
"InHarvest D2","Swab","Bins","Round 3","","APC",4.012610126,"",""
"InHarvest D2","Swab","Bins","Round 1","","APC",4.130303129,"",""
"InHarvest D2","Swab","Bins","Round 2","","APC",4.235444273,"",""
"InHarvest D2","Gloves","Gloves","Round 1","Bed 5","APC",4.186861154,"",""
"InHarvest D2","Swab","Chute","Round 5","","APC",4.251090553,"",""
"InHarvest D2","Swab","Chute","Round 2","","Coliforms",0.630607639,"",""
"InHarvest D2","Swab","Chute","Round 4","","Coliforms",0.591507725,"",""
"InHarvest D2","Swab","Chute","Round 3","","Coliforms",0.64688413,"",""
"InHarvest D2","Grab","Bins","Round 5","","Coliforms",3.290034611,"",""
"InHarvest D2","Grab","Bins","Round 4","","Coliforms",3.472756449,"",""
"InHarvest D2","Grab","Bins","Round 3","","Coliforms",2.541579244,"",""
"InHarvest D2","Grab","Bins","Round 2","","Coliforms",1.982271233,"",""
"InHarvest D2","Grab","Bins","Round 1","","Coliforms",3.240549248,"",""
"InHarvest D2","Grab","Leftover","Round 5","Bed 1","Coliforms",3.357934847,"",""
"InHarvest D2","Grab","Leftover","Round 5","Bed 5","Coliforms",2.209515015,"",""
"InHarvest D2","Grab","Leftover","Round 4","Bed 1","Coliforms",2.887054378,"",""
"InHarvest D2","Grab","Leftover","Round 4","Bed 5","Coliforms",2.201397124,"",""
"InHarvest D2","Grab","Leftover","Round 3","Bed 1","Coliforms",2.23299611,"",""
"InHarvest D2","Grab","Leftover","Round 3","Bed 1","E. coli",1.322219295,"",""
"InHarvest D2","Grab","Leftover","Round 1","Bed 1","Coliforms",3.217483944,"",""
"InHarvest D2","Grab","Leftover","Round 1","Bed 5","Coliforms",2.46834733,"",""
"InHarvest D2","Grab","Leftover","Round 2","Bed 1","Coliforms",2.683947131,"",""
"InHarvest D2","Grab","Leftover","Round 2","Bed 5","Coliforms",2.29666519,"",""
"InHarvest D2","Grab","Leftover","Round 3","Bed 5","Coliforms",2.26245109,"",""
"InHarvest D2","Gloves","Gloves","Round 4","Bed 1","Coliforms",1.892423209,"",""
"InHarvest D2","Gloves","Gloves","Round 2","Bed 1","Coliforms",1.815163592,"",""
"InHarvest D2","Gloves","Gloves","Round 2","Bed 5","Coliforms",2.290034611,"",""
"InHarvest D2","Gloves","Gloves","Round 5","Bed 1","Coliforms",2.266127123,"",""
"InHarvest D2","Gloves","Gloves","Round 5","Bed 5","Coliforms",2.241878383,"",""
"InHarvest D2","Gloves","Gloves","Round 3","Bed 5","Coliforms",2.089447385,"",""
"InHarvest D2","Gloves","Gloves","Round 4","Bed 5","Coliforms",2.559697413,"",""
"InHarvest D2","Gloves","Gloves","Round 1","Bed 1","Coliforms",2.1834802,"",""
"InHarvest D2","Gloves","Gloves","Round 3","Bed 1","Coliforms",2.208839723,"",""
"InHarvest D2","Swab","Chute","Round 1","","Coliforms",1.941609134,"",""
"InHarvest D2","Swab","Bins","Round 4","","Coliforms",0.634141259,"",""
"InHarvest D2","Swab","Bins","Round 5","","Coliforms",1.441347985,"",""
"InHarvest D2","Swab","Bins","Round 3","","Coliforms",0.779614015,"",""
"InHarvest D2","Swab","Bins","Round 1","","Coliforms",1.675458269,"",""
"InHarvest D2","Swab","Bins","Round 2","","Coliforms",0.799281626,"",""
"InHarvest D2","Gloves","Gloves","Round 1","Bed 5","Coliforms",1.747166398,"",""
"InHarvest D2","Swab","Chute","Round 5","","Coliforms",1.547192967,"","SwabChute"
